word	color vividness	visual motion	graspability	risk of pain	sound intensity	pleasant taste	smell intensity
azada	2.71	3.81	5.46	5.13	2.17	2.08	2.00
gancho	3.17	2.50	7.12	4.71	1.79	2.00	1.75
avispón	6.08	7.12	5.62	6.08	3.29	1.50	2.25
husky	5.04	7.12	4.50	3.54	4.13	3.08	4.79
hiena	4.21	7.27	2.54	5.88	4.71	2.96	5.21
iguana	6.04	6.46	6.19	3.21	2.38	2.42	3.88
posada	2.67	1.35	1.19	1.50	2.75	2.38	3.50
tarro	2.96	2.27	7.69	2.67	2.46	2.54	2.46
vaqueros	4.50	3.85	7.31	1.58	1.67	2.58	2.54
jeep	4.54	5.81	1.65	3.71	4.67	2.25	2.88
jet	4.25	5.62	1.35	2.75	4.96	2.29	2.71
tetera	3.54	2.96	7.46	2.00	3.54	3.38	3.38
cucharón	2.38	2.92	7.85	2.33	1.96	3.29	2.04
mariquita	6.75	6.73	7.35	1.17	1.29	2.38	1.63
cordero	4.21	7.04	4.54	2.63	3.92	6.25	5.08
lámpara	5.42	2.23	7.00	2.04	1.79	2.08	1.79
lava	7.42	5.46	1.46	6.96	3.38	1.83	3.83
limón	6.92	2.62	7.85	1.88	1.17	6.25	5.67
leopardo	6.29	7.27	2.65	6.75	5.17	3.21	4.96
leotardos	4.79	2.85	7.54	1.46	1.38	2.29	2.08
lechuga	5.46	2.04	7.58	1.25	1.21	6.79	3.25
nivel	2.63	2.27	2.85	1.75	1.21	2.58	1.33
bombilla	5.33	2.35	7.77	2.50	1.58	1.83	1.67
lima	6.13	2.58	7.77	1.71	1.54	5.58	5.42
limusina	5.21	5.92	1.50	2.79	4.54	2.79	3.17
león	5.54	7.23	2.31	6.92	5.46	3.17	5.08
pintalabios	6.50	3.40	7.67	1.64	1.38	5.00	4.04
lagarto	4.79	6.60	5.67	2.88	2.42	2.68	3.71
langosta	6.04	5.76	6.04	3.72	2.29	6.76	5.79
piruleta	6.58	2.68	7.75	2.20	1.67	7.04	4.54
machete	2.75	3.28	6.71	7.16	4.38	1.80	2.58
caballa	3.79	6.16	5.75	2.36	2.13	5.72	5.63
revista	5.17	2.64	7.54	2.24	2.13	2.68	3.54
mandarina	6.17	2.36	7.75	1.92	1.42	7.64	6.17
canica	4.96	5.24	7.63	2.84	3.08	2.92	1.92
alfombrilla	3.21	2.20	7.13	1.84	1.46	1.56	3.33
menú	3.33	1.56	5.96	1.64	1.50	5.24	3.38
microscopio	3.04	2.28	6.13	2.64	1.79	2.36	1.54
microondas	2.38	2.96	4.04	3.36	4.71	2.44	3.21
pececillo	5.29	7.12	6.63	1.52	1.42	4.84	4.79
misil	3.21	5.04	2.54	7.96	7.00	1.56	3.63
manoplas	3.63	3.12	7.54	1.92	1.38	2.64	2.50
batidora	2.79	5.24	6.75	4.40	5.96	2.84	2.38
luna	5.25	5.64	1.25	1.36	1.83	4.40	1.50
alce	3.79	6.60	2.04	3.84	3.96	3.80	4.46
musgo	4.96	2.08	6.17	2.20	1.08	2.56	4.88
polilla	2.50	6.96	5.25	1.72	1.54	1.72	2.21
motocicleta	4.46	6.48	2.96	4.96	6.25	2.04	3.88
tazón	3.67	2.12	7.29	2.92	2.54	3.36	2.46
mural	5.50	1.52	3.71	2.24	1.38	2.72	2.00
seta	4.46	2.08	7.33	3.64	1.21	6.20	4.92
bozal	2.46	2.36	6.83	3.16	1.63	2.36	3.25
nectarina	6.08	2.24	7.46	1.80	1.42	7.44	5.63
céntimo	2.96	2.84	7.88	1.80	2.17	1.52	3.83
camisón	3.04	2.76	7.33	1.36	1.29	3.20	3.67
roble	4.54	2.08	2.33	2.56	2.17	2.92	5.08
pulpo	4.75	6.56	5.29	3.76	2.25	7.16	5.54
aceituna	5.29	2.44	7.79	1.88	1.29	7.04	5.50
naranja	6.58	2.28	7.71	2.32	1.54	7.60	6.13
oropéndola	3.88	4.00	3.17	2.80	3.00	2.44	3.17
nutria	4.00	6.76	4.04	3.08	4.00	3.36	5.00
pijama	4.13	2.80	7.42	1.12	1.13	3.40	3.67
cazo	2.38	2.28	7.17	3.88	3.71	2.72	2.63
pantera	5.96	7.16	2.00	6.04	5.38	3.80	4.88
calzoncillos	3.67	2.48	7.58	1.68	1.13	1.68	4.29
clip	2.63	1.76	7.75	2.28	1.50	2.24	1.63
periquito	6.29	7.04	6.25	2.48	3.83	3.36	4.04
anorak	4.75	3.24	7.00	1.72	1.79	2.84	3.17
perejil	5.46	1.88	7.25	1.16	1.08	6.24	6.00
perdiz	3.50	6.96	5.54	2.64	3.67	4.76	4.38
melocotón	6.13	2.20	7.67	1.88	1.50	7.84	5.46
perla	5.08	2.20	7.17	1.80	1.54	3.92	1.75
guisantes	5.29	2.36	7.25	1.60	1.13	5.88	3.75
pelícano	4.79	6.60	4.17	3.92	4.50	3.40	4.25
bolígrafo	4.08	4.00	7.83	3.16	2.21	3.04	1.96
lápiz	3.83	3.76	7.88	3.28	2.13	2.88	2.63
pingüino	4.79	6.40	3.08	2.72	3.83	4.00	4.42
penique	3.04	2.92	7.54	2.00	2.00	1.68	3.46
pimienta	5.25	2.04	6.58	4.20	1.54	5.24	6.08
perca	3.75	4.92	4.46	2.60	2.50	3.80	3.75
faisán	4.50	6.04	3.83	3.16	3.79	4.44	4.04
piano	4.29	3.00	2.42	2.68	6.13	3.36	2.50
pepinillo	5.29	1.92	7.42	1.64	1.25	6.36	5.17
tarta	5.29	2.08	6.67	1.72	1.42	7.96	5.88
embarcadero	2.79	2.76	1.04	2.28	4.33	1.64	4.38
pichón	4.38	6.32	5.50	2.48	3.54	4.12	4.08
almohada	2.58	2.32	7.29	1.80	1.21	3.96	3.46
alfiler	2.29	2.28	7.50	5.68	1.13	2.04	1.33
piña	5.75	2.12	7.42	2.96	1.92	7.52	5.17
ornitorrinco	4.25	6.60	3.88	2.96	3.21	3.04	4.67
alicates	2.79	3.48	7.21	5.64	2.96	1.84	2.42
ciruela	5.83	2.16	7.58	1.80	1.33	7.40	4.71
poni	4.38	6.68	2.04	3.24	4.29	3.40	5.63
polo	5.08	2.48	6.63	2.16	1.38	6.08	3.83
puercoespín	4.00	6.08	3.58	5.16	3.13	2.64	4.67
maceta	3.21	1.68	6.79	4.16	2.21	2.40	3.92
patata	1.79	1.96	7.63	1.88	1.50	7.44	4.29
proyector	3.58	2.56	4.63	3.00	3.17	2.52	1.54
pruna	3.13	2.76	3.29	2.92	2.63	3.08	3.08
calabaza	5.67	2.04	6.25	2.16	1.58	6.56	4.67
torreta	3.00	2.20	2.21	3.64	3.83	2.00	2.17
pirámide	4.25	1.36	1.92	2.40	2.00	2.52	2.67
pitón	5.46	5.96	3.33	5.52	2.92	2.72	3.67
mapache	4.13	6.64	4.54	4.08	3.46	3.16	4.79
raqueta	3.67	5.24	7.58	3.84	3.46	2.40	1.79
rábano	4.42	2.04	7.08	2.32	1.50	5.40	4.00
balsa	3.38	5.40	2.63	2.72	3.04	2.20	2.96
arcoíris	7.13	3.04	1.00	1.08	1.08	5.12	1.38
pasa	3.00	1.88	7.71	1.36	1.17	5.12	3.96
rastrillo	3.46	3.40	6.46	4.48	3.50	1.96	2.75
frambuesa	6.75	1.88	7.46	1.72	1.21	7.80	5.13
rata	3.00	7.08	5.75	3.96	2.92	1.68	5.17
sonajero	5.25	5.28	7.54	2.56	4.79	3.08	2.13
corneja	3.79	4.40	3.79	2.84	3.17	3.04	2.96
cuchilla	2.88	3.00	7.33	6.64	2.75	1.56	2.17
revólver	3.79	3.68	6.83	7.60	6.29	1.80	3.08
ruibarbo	3.79	4.20	4.17	2.48	2.25	3.64	3.58
rifle	3.04	3.72	5.79	7.40	6.63	1.76	2.83
albornoz	3.83	2.52	7.33	1.48	1.21	3.04	3.42
petirrojo	6.17	6.56	4.67	2.32	4.04	3.28	3.50
roca	2.38	1.60	5.42	5.80	3.08	1.92	2.96
mecedora	2.96	5.40	4.13	2.36	3.13	2.72	2.38
rosa	6.75	2.12	7.50	3.24	1.13	5.16	5.75
regla	2.79	2.52	7.83	3.92	1.83	2.40	3.00
saco	2.42	2.24	6.50	2.56	2.17	2.04	3.63
montura	3.50	3.16	4.71	3.12	2.25	2.64	3.29
velero	4.17	6.56	1.63	2.76	3.83	3.00	2.96
salamandra	5.75	6.72	5.21	3.64	2.21	2.40	3.21
salmón	5.83	6.12	5.50	2.44	2.25	7.40	6.08
sandalias	4.00	4.28	7.63	3.68	2.33	1.92	3.50
lija	2.75	3.60	6.96	5.00	4.13	1.52	2.67
sardina	3.83	6.52	6.92	2.24	1.79	6.56	6.58
platillo	3.83	4.56	5.96	2.76	5.79	2.36	1.88
saxofón	5.50	4.12	6.50	2.76	6.50	2.80	2.38
tijeras	3.42	4.00	7.71	5.92	3.00	2.12	1.79
patinete	4.00	5.80	6.83	4.48	4.75	2.20	2.13
escorpión	5.04	6.36	4.33	6.52	2.29	2.32	3.29
destornillador	2.71	4.04	7.50	5.24	2.79	1.72	2.13
tornillos	2.67	2.56	7.67	4.36	2.67	1.84	2.63
gaviota	3.42	6.92	3.67	3.60	4.71	3.56	4.33
foca	4.00	6.36	2.33	3.36	4.88	3.56	5.04
alga	4.42	5.00	6.46	2.08	1.38	3.92	4.92
chabola	2.25	1.68	1.25	2.44	3.38	1.44	4.88
chal	4.21	3.32	7.38	1.92	1.42	2.80	2.75
cobertizo	2.88	1.28	1.21	2.44	2.92	1.92	4.88
concha	3.17	2.68	7.63	2.96	2.25	3.52	3.79
baldas	2.63	1.96	4.83	3.20	2.42	2.28	2.25
escudo	3.96	2.80	6.83	3.52	3.25	2.36	2.58
zapatos	4.42	4.56	7.46	4.20	3.08	1.84	5.00
pala	2.92	3.84	6.83	5.08	3.38	2.16	2.50
gamba	5.04	5.32	7.13	2.08	1.54	6.80	5.92
fregadero	2.29	1.84	3.04	2.44	3.33	1.56	3.75
monopatín	4.29	6.28	7.04	4.32	4.33	2.24	2.17
esquís	3.38	5.64	5.96	4.88	3.42	2.80	1.96
mofeta	4.25	6.36	3.88	4.00	2.79	2.00	7.13
rascacielos	3.75	1.64	1.04	3.28	2.67	3.16	1.83
mazo	2.88	3.64	6.50	6.60	4.63	2.00	2.13
trineo	4.04	5.76	4.63	3.92	3.96	2.60	2.13
tirachinas	3.42	4.12	6.88	6.04	3.08	2.52	2.08
pantuflas	3.13	3.88	7.46	1.80	2.00	2.16	3.54
babosa	2.83	5.56	5.63	2.08	1.21	1.64	4.04
caracol	3.29	5.08	6.75	1.64	1.33	3.00	3.88
calcetines	4.13	3.08	7.63	1.60	1.25	1.64	5.17
sofá	3.83	1.56	2.71	2.24	2.13	3.44	2.79
gorrión	4.42	7.08	5.13	2.96	4.29	3.68	4.00
espátula	2.58	3.52	7.42	4.12	2.75	2.40	2.33
lanza	2.67	4.44	6.42	6.84	3.13	2.08	1.83
espinacas	5.13	1.92	7.17	1.68	1.21	5.88	4.75
cuchara	2.46	3.00	7.92	2.44	2.75	3.80	2.04
calamar	3.88	6.00	5.83	3.08	1.88	7.08	5.42
ardilla	3.92	7.20	5.42	2.60	3.17	3.84	3.92
estornino	4.00	4.16	4.13	2.88	3.21	2.64	3.25
estéreo	3.04	3.00	2.33	2.92	5.71	2.84	1.83
cigüeña	3.88	6.60	3.21	3.28	4.54	3.36	4.38
estufa	3.00	1.72	4.17	4.84	2.79	2.60	3.67
colador	3.00	2.36	7.29	1.88	1.92	2.48	2.38
submarino	3.79	5.44	1.42	3.92	4.67	2.08	2.83
metro	3.08	5.80	4.46	3.32	5.79	1.76	3.50
sol	7.71	5.64	1.00	4.20	2.21	4.88	1.42
tabla	2.46	1.80	5.63	3.40	2.33	2.56	2.46
cisne	4.54	6.60	3.58	2.60	3.08	4.12	3.92
suéter	4.75	3.32	7.42	1.64	1.25	3.04	3.88
bañador	5.63	2.72	7.29	2.00	1.33	3.28	3.29
mesa	3.21	1.68	4.13	3.04	2.79	2.60	2.13
chincheta	3.83	1.80	7.63	5.96	1.58	1.92	1.71
clementina	5.25	2.72	5.58	1.96	1.75	4.92	4.42
grifo	2.38	2.80	5.50	2.88	3.79	2.44	2.46
teléfono	3.17	3.84	7.67	3.08	5.38	2.80	2.08
tienda	4.50	1.36	1.58	1.96	4.58	3.12	4.17
termómetro	3.50	2.96	7.75	1.92	2.04	2.84	1.71
dedal	2.83	3.04	7.79	1.96	1.63	2.48	1.83
corbata	4.50	2.44	7.75	2.64	1.25	2.52	2.13
pañuelo	3.13	3.08	7.50	1.60	1.33	2.80	3.50
sapo	4.71	6.40	5.79	3.08	3.04	2.36	5.21
tostadora	2.42	2.40	6.29	3.60	3.25	2.72	3.46
váter	2.42	1.76	2.79	2.32	4.38	1.20	5.83
tenazas	2.83	3.52	7.42	5.40	2.88	1.88	2.29
galápago	4.17	5.32	3.42	3.08	3.46	3.04	4.08
juguete	5.75	4.68	7.46	3.32	4.46	3.72	2.63
tractor	4.04	6.00	1.63	4.72	6.75	1.80	4.13
tráiler	3.96	5.68	1.38	3.28	5.63	2.56	2.50
bandeja	3.08	3.28	7.33	2.96	2.67	2.76	2.33
triciclo	4.83	6.04	5.21	3.56	4.17	2.20	2.04
trípode	3.25	2.16	6.67	2.40	2.08	2.28	1.71
carrito	3.33	5.80	5.21	2.92	3.96	2.36	2.25
trombón	4.92	4.24	5.96	2.76	6.79	2.64	2.38
trucha	4.42	6.32	5.92	2.44	2.21	5.92	5.42
tuba	4.17	3.96	5.71	2.80	6.21	2.44	2.38
pavo	4.29	6.48	4.38	2.72	4.08	7.28	4.79
nabo	3.79	1.84	7.21	2.12	1.46	5.00	4.17
teclado	2.67	3.36	6.71	2.60	3.88	2.60	1.54
paraguas	5.08	3.88	7.71	3.64	2.33	2.60	2.46
monociclo	3.75	6.12	4.67	4.08	3.88	2.24	1.79
urna	2.50	1.64	5.79	3.00	2.21	2.08	2.71
camioneta	3.71	5.92	1.88	5.04	5.75	2.08	3.83
jarrón	4.50	1.72	6.75	3.52	2.92	2.40	2.50
velo	3.38	3.64	6.88	1.72	1.21	3.00	2.54
chaleco	4.17	2.56	7.42	1.88	1.63	2.84	3.13
vid	4.42	2.44	4.21	2.08	1.75	4.40	4.13
violín	4.33	4.44	6.75	2.72	5.71	3.40	2.58
buitre	4.00	6.76	3.04	5.20	4.83	2.88	4.83
carreta	2.88	4.56	4.08	3.60	4.50	2.04	2.83
morsa	4.38	6.12	1.88	3.64	4.46	3.56	4.67
varita	4.08	4.24	6.88	2.96	1.71	2.92	1.50
avispa	5.96	7.16	4.17	5.88	3.21	1.96	2.38
carretilla	2.92	4.92	4.75	3.52	4.54	1.96	2.71
silbato	4.21	3.00	7.54	2.64	5.92	3.20	1.71
pizarra	3.75	1.60	3.29	2.84	3.25	2.20	3.21
sauce	4.33	2.72	2.13	2.08	2.38	3.36	4.25
picamadero	3.54	3.56	4.67	3.96	3.75	2.24	3.25
gusano	3.29	6.60	6.25	2.16	1.17	1.72	3.50
herramienta	2.54	3.92	7.25	5.16	4.29	1.72	2.67
boniato	3.29	2.88	6.33	2.08	1.67	4.88	4.50
cebra	4.92	6.92	2.25	3.20	3.54	4.00	4.79
calabacín	5.21	1.76	6.88	1.80	1.33	6.56	4.17
discoteca	6.04	2.65	1.27	2.33	7.04	2.33	4.63
azotea	3.33	1.19	1.31	2.58	2.63	2.17	2.33
celda	2.50	1.65	1.92	3.92	2.83	1.96	3.79
hélice	3.29	6.31	3.81	5.00	5.29	1.96	1.63
instituto	3.29	2.04	1.15	2.71	5.38	2.29	3.00
monasterio	3.46	1.35	1.15	1.83	2.79	2.04	3.63
juez	3.08	6.08	2.31	2.96	3.63	2.54	2.08
lista	1.67	2.08	6.85	1.46	1.21	2.42	1.38
golf	5.00	4.73	1.81	2.58	2.75	2.50	2.13
capellán	3.42	3.65	2.69	2.33	2.63	2.38	2.79
selva	7.25	3.77	1.15	4.29	4.96	2.96	6.00
tenis	4.88	4.69	3.50	2.42	3.75	2.46	2.21
circuito	3.75	3.00	1.54	2.92	5.25	2.38	2.00
tomo	2.92	2.42	5.04	2.21	1.88	2.04	2.21
orquesta	4.67	5.85	1.15	1.79	6.29	2.67	2.00
basílica	4.08	1.46	1.15	1.88	2.71	2.00	3.92
club	5.04	2.58	1.35	1.88	5.50	2.33	3.71
domicilio	2.54	1.58	1.35	1.50	2.75	2.46	3.33
estructura	2.79	2.19	2.27	2.29	2.46	2.13	1.38
guardián	3.67	5.46	1.92	2.50	2.46	2.63	2.25
santuario	3.88	1.46	1.12	1.83	2.33	2.00	3.38
vía	2.88	2.54	2.08	2.79	4.83	1.92	2.42
antídoto	3.75	2.96	6.23	2.00	1.17	4.13	2.79
buque	3.46	5.15	1.62	3.50	5.50	1.79	2.63
comercio	4.29	2.35	1.35	1.58	4.75	2.29	3.25
mezquita	4.42	1.27	1.08	2.08	2.71	2.04	3.75
sala	2.83	1.54	1.27	1.33	3.50	2.33	2.83
pupila	5.58	6.38	3.42	1.54	1.08	2.29	1.21
germen	2.54	6.42	4.04	5.25	1.00	1.46	2.08
gimnasia	3.50	5.35	1.27	2.67	3.54	2.17	3.67
vena	4.83	4.65	4.19	2.04	1.13	2.25	1.96
equipo	3.92	5.69	1.35	1.83	4.83	2.75	3.04
viento	1.75	7.50	1.00	2.50	4.17	3.96	1.96
veneno	5.00	2.42	5.42	7.63	1.08	1.50	3.38
estación	3.13	1.81	1.23	1.92	5.75	2.17	2.96
encuesta	1.54	2.50	6.00	1.46	1.50	2.46	1.42
puerto	3.88	2.12	1.15	2.21	5.42	2.17	4.63
surco	2.33	1.73	2.15	2.17	1.46	2.08	1.79
vestíbulo	3.46	1.65	1.38	1.54	2.75	2.42	2.92
granja	4.17	2.81	1.12	2.46	5.21	2.00	6.29
circo	6.63	4.50	1.35	3.13	6.42	2.46	4.79
parroquia	3.21	1.44	1.04	1.92	3.96	2.16	4.67
duque	3.92	4.96	2.13	2.52	2.83	3.12	2.96
humo	2.75	7.16	1.04	3.96	1.17	2.56	6.79
pueblo	4.13	1.32	1.00	2.20	5.00	3.76	4.54
princesa	5.08	5.80	1.92	2.20	3.21	4.04	2.88
borde	2.46	1.52	2.46	4.08	1.38	2.52	1.42
príncipe	4.42	5.68	2.38	2.56	3.29	3.96	2.75
academia	2.54	1.36	1.17	1.76	4.29	2.36	2.75
convento	2.63	1.36	1.08	2.04	2.79	2.04	4.96
fiera	5.13	6.64	1.96	6.96	6.08	2.68	3.92
avalancha	4.00	7.56	1.04	6.84	7.42	2.60	2.50
ladera	4.33	1.68	1.29	2.92	2.21	3.00	3.13
barranco	2.96	1.72	1.13	5.60	2.58	2.08	2.38
héroe	5.67	6.08	2.21	2.24	3.83	4.16	2.29
elemento	2.96	3.44	3.46	2.60	1.79	3.12	1.79
cuartel	3.25	1.52	1.13	3.36	4.38	2.28	3.71
línea	2.67	2.08	1.88	1.44	1.08	3.16	1.46
rapaz	3.83	6.56	3.88	4.20	4.54	3.56	3.83
cine	4.88	2.00	1.08	2.08	5.75	4.64	3.58
cima	3.92	1.40	1.33	2.72	2.25	3.84	2.21
estómago	3.67	4.88	2.67	4.08	2.96	2.08	4.54
óptica	3.33	1.56	1.54	2.00	2.25	2.72	2.33
célula	3.29	5.68	2.63	2.52	1.00	3.20	1.83
bóveda	3.88	1.60	1.71	2.64	2.29	2.52	2.58
médula	2.46	2.12	2.50	3.04	1.38	2.12	2.58
precipicio	4.00	1.56	1.04	5.56	2.46	2.52	1.79
niebla	2.58	5.88	1.04	2.08	1.13	4.20	2.00
sirena	6.04	6.00	1.75	2.24	4.71	3.48	2.54
techo	2.33	1.32	1.42	2.88	2.13	2.48	1.96
signo	2.79	2.00	2.42	1.76	1.04	3.28	1.00
península	3.63	1.68	1.00	1.68	3.04	3.76	1.92
rayo	6.71	7.24	1.00	6.60	5.04	2.72	1.63
dragón	6.71	5.64	1.63	5.24	6.63	2.76	3.21
nube	4.08	6.60	1.25	1.40	1.54	5.68	1.63
ángel	4.88	5.00	1.42	1.16	1.75	4.68	1.38
abismo	3.21	1.76	1.04	5.64	2.63	2.56	1.54
hada	6.04	5.04	1.38	1.36	1.71	3.92	2.00
júpiter	5.63	5.32	1.00	1.60	2.13	3.52	1.50
horizonte	4.50	2.12	1.00	1.16	1.38	4.56	1.54
cielo	5.96	3.48	1.00	1.32	2.08	5.56	1.25
diablo	6.38	4.40	1.46	5.24	3.46	2.60	2.50
