word	valence	arousal	dominance	concreteness	imageability	age of acquisition
kichać	4.88	4.10	3.92	3.36	7.64	6.84
kicz	3.54	4.26	3.72	5.76	5.78	10.76
kielich	5.56	4.06	5.60	2.22	7.70	8.26
kiełbasa	5.76	3.42	4.94	1.66	8.32	6.76
kiełek	5.40	3.02	5.00	2.12	7.10	10.12
kiełkować	5.86	3.44	5.50	3.96	6.82	9.78
kiełkowanie	5.84	3.28	5.50	3.48	7.06	10.44
kiepski	3.30	4.24	3.50	5.66	4.62	8.02
kierować	5.68	3.76	6.38	4.72	6.82	8.20
kierować się	5.52	3.66	5.76	4.82	5.16	9.34
kierownica	5.76	3.66	6.08	1.72	8.18	7.68
kieszonkowe	6.28	4.44	5.36	3.14	6.66	8.40
kij	4.60	3.58	5.44	1.62	7.82	7.04
kil	4.97	3.78	5.26	2.89	5.29	11.97
kilogram	4.74	3.52	5.00	3.78	5.86	8.12
kiła	2.28	5.78	3.38	3.06	4.71	12.24
kiosk	5.36	2.90	4.82	1.76	8.08	7.86
kitel	4.65	3.47	5.41	1.82	7.26	12.20
kiwi	6.04	2.66	4.82	1.86	8.06	7.69
kiwnąć	5.20	3.34	5.22	3.64	6.68	8.50
klacz	5.38	3.48	5.12	1.76	7.42	9.72
klamka	5.12	3.16	5.28	2.00	7.98	7.12
klamra	5.30	3.26	5.30	1.76	7.12	9.34
klan	5.26	3.24	5.74	3.60	5.64	10.04
klapa	3.72	3.54	3.90	2.86	6.74	8.84
klapnąć	5.04	4.18	4.46	3.92	6.26	9.44
klaps	4.08	4.62	4.57	3.08	7.42	6.76
klasa	5.40	3.62	5.82	3.46	6.92	6.88
klaskać	6.12	4.30	5.18	3.24	7.50	5.98
klasztor	4.80	3.02	4.70	2.64	7.62	8.76
klatka	4.28	3.74	3.78	2.22	8.04	7.60
kleić	4.66	3.60	5.42	3.56	7.12	6.96
klej	5.16	3.02	5.42	1.64	7.80	6.90
klejnot	6.36	4.22	6.60	2.02	7.52	9.02
klęczeć	4.08	3.96	3.34	3.48	7.42	6.78
klęska	2.17	5.51	2.42	6.04	5.97	9.65
klient	5.28	3.58	5.30	2.80	6.54	8.94
klika	4.61	3.54	5.29	4.04	5.30	9.50
kliknięcie	5.22	3.48	5.16	3.22	7.18	7.62
klimat	6.06	3.86	5.28	3.90	5.16	10.06
klin	4.98	3.68	5.24	2.70	6.14	10.94
klips	5.18	3.32	5.12	2.14	6.98	10.08
klocowaty	3.76	3.78	4.22	4.84	5.47	10.78
klop	4.04	4.29	3.68	2.20	6.94	9.50
klub	5.80	4.16	5.22	2.86	7.16	9.46
klucz	5.52	3.48	6.34	1.88	8.14	7.24
kłamać	2.84	6.18	4.26	5.48	5.26	6.30
kłamca	2.82	5.72	4.16	4.64	5.22	8.10
kłamliwość	2.64	5.62	3.98	6.68	4.34	9.96
kłamstwo	2.68	6.24	4.20	6.20	5.16	7.42
kłaść	5.06	3.38	4.94	4.02	6.20	6.22
kłębek	5.40	3.58	4.34	2.68	7.38	7.90
kłopot	3.30	4.54	3.66	5.44	5.04	7.46
kłócić się	2.80	5.84	4.88	4.54	7.08	6.44
kłótliwość	3.02	5.52	4.66	6.40	5.42	10.68
kłótliwy	3.02	5.82	4.50	5.56	5.54	9.22
kłótnia	2.86	5.84	4.72	4.94	6.92	7.20
kłuć	3.16	4.94	4.86	3.48	7.04	7.00
kłus	5.29	4.44	5.45	3.28	6.45	11.00
kłusować	3.92	5.02	5.60	4.16	6.29	10.78
knot	5.10	3.18	4.78	1.84	7.59	9.94
kobierzec	5.47	3.67	5.14	3.27	4.77	12.66
kobieta	6.70	4.16	5.82	2.60	7.70	6.73
kobra	3.90	4.68	5.82	1.74	7.66	9.22
koc	6.40	2.96	5.08	1.62	7.98	6.90
kochać się	8.14	6.44	6.44	5.18	7.28	9.24
kochanek	6.22	6.08	5.24	3.78	6.62	12.10
kochanie	7.64	5.70	6.08	5.72	6.52	8.70
kociak	6.50	4.02	4.78	2.18	7.76	6.78
kod	5.28	3.32	5.66	3.54	6.62	8.54
kogut	5.00	3.40	5.56	2.00	8.22	6.68
koić	6.55	2.58	5.88	5.37	5.02	9.94
kokon	4.78	3.58	4.08	1.98	7.14	10.58
koks	4.72	4.60	4.98	2.08	6.78	11.44
koktajl	6.28	3.86	5.26	1.94	7.42	9.40
kolaborant	3.55	4.52	4.77	4.32	4.17	13.06
kolacja	6.62	3.16	5.24	2.30	7.70	6.52
kolano	4.90	3.16	4.86	1.78	7.98	5.94
kolba	5.18	3.24	5.18	2.06	7.06	9.42
kolej	5.34	3.48	5.56	2.50	7.84	7.46
kolejka górska	6.20	4.56	5.38	1.92	7.70	9.34
kolejny	5.22	2.96	4.88	5.08	4.58	7.32
kolidować	3.84	4.16	4.52	4.90	4.74	12.62
kolor	6.04	3.40	5.60	4.88	6.42	5.80
kolorować	6.42	3.38	5.38	3.98	7.22	5.86
kolorowy	6.84	4.38	5.76	4.70	7.68	6.04
kolos	4.32	4.72	6.46	2.53	7.02	11.84
kolumna	5.34	2.82	6.02	2.52	7.58	9.48
kołek	4.66	3.12	4.62	2.30	7.10	8.78
kołnierz	5.14	3.20	5.06	1.60	7.64	7.82
koło	5.38	2.80	5.30	2.48	8.12	6.14
kołowanie	4.80	3.44	5.02	4.10	6.02	10.00
kołysać	6.00	2.80	4.90	3.84	7.08	6.98
kołyska	6.14	2.72	4.64	2.04	7.78	6.92
komar	2.54	4.30	4.04	1.48	8.12	7.26
komedia	6.88	4.70	5.20	4.42	6.82	8.50
komenda	4.40	4.30	6.06	3.36	6.18	10.02
komfort	7.10	2.68	6.08	5.98	5.52	10.18
komik	6.16	4.44	5.76	2.80	7.06	9.70
komin	5.16	3.24	4.84	1.58	7.82	6.86
kominek	6.34	2.96	5.68	1.94	8.08	8.18
komórka	5.80	3.22	5.34	1.84	7.82	8.00
komórka jajowa	4.96	3.58	5.08	2.22	6.56	11.36
kompas	5.82	3.22	6.16	1.96	7.96	9.06
kompensować	5.65	4.23	5.45	5.43	4.22	12.04
kompetentny	6.64	3.48	6.90	6.52	4.36	11.28
kompromitacja	2.66	6.02	3.22	6.70	4.92	11.24
komputer	6.28	3.56	6.08	2.14	8.22	6.28
koncentrat	5.42	3.12	5.28	2.12	7.18	9.90
koncentrować	5.82	3.18	6.42	5.34	5.60	9.68
konfetti	6.30	4.12	5.18	2.08	7.63	10.60
konfident	2.98	5.52	3.90	4.69	4.65	12.58
konflikt	3.14	5.44	5.24	5.72	5.66	9.76
konformista	4.32	3.75	3.64	6.63	4.41	12.42
koniczyna	6.38	3.22	5.18	2.06	8.00	7.66
koniec	4.04	3.68	4.64	5.42	5.10	6.58
konik polny	5.44	3.32	4.54	1.88	7.94	7.82
konkurencyjny	5.26	4.42	6.14	5.94	4.52	11.12
konsekwencja	4.84	3.74	5.80	5.94	4.48	10.12
konserwatorium	4.84	3.58	5.25	3.27	4.76	12.35
konserwatywny	4.48	3.96	5.08	6.22	4.40	12.30
konstatować	5.25	3.29	5.50	5.97	3.46	12.80
konstruktywny	6.00	4.48	6.33	6.43	4.02	11.90
konsul	5.38	3.00	6.58	2.71	5.02	11.76
kontakt	5.56	3.68	5.82	4.46	5.76	8.54
kontekst	5.00	3.56	5.64	5.92	3.62	11.92
kontrola	4.56	3.92	6.24	4.92	5.40	9.10
kontrolowania	4.38	3.72	6.30	5.46	3.94	10.16
kontrolowanie	4.44	4.08	7.04	5.46	4.82	10.58
kontynuować	5.80	3.56	5.76	5.50	4.48	8.98
konwencjonalny	5.14	3.72	5.28	6.78	4.08	12.40
koń	5.90	3.90	5.46	1.70	8.12	6.84
kopać	4.40	4.84	5.40	3.78	7.40	6.54
kopalnia	5.08	4.02	5.18	2.00	7.52	8.54
koper	5.58	3.26	5.06	1.67	7.76	8.44
kopia	5.06	3.00	4.30	3.12	6.18	9.48
kopiować	4.54	3.74	4.40	4.26	6.24	9.90
kopnąć	3.98	4.64	5.54	3.70	7.40	6.76
kopnięcie	3.98	5.10	5.14	3.36	7.24	6.78
kopuła	5.20	3.48	5.60	2.12	7.32	9.96
kopyto	4.96	3.54	5.06	1.88	7.78	8.04
kora	5.32	2.68	5.44	1.92	7.64	8.44
koralik	5.70	3.02	4.66	1.66	7.72	6.36
Koran	4.42	3.52	5.38	3.66	6.46	12.14
korek	4.40	3.44	4.92	1.96	7.66	7.62
korona	6.12	4.22	7.10	2.18	8.08	7.32
koronka	6.04	3.34	5.10	1.84	7.44	9.74
korygować	5.34	4.08	6.16	4.52	5.58	11.56
korytarz	5.04	3.38	5.08	2.12	7.86	7.40
koryto	4.24	3.54	4.58	1.78	7.42	9.18
korzeń	5.36	3.08	5.36	1.84	7.76	8.40
korzystać	5.96	4.10	6.16	4.94	4.74	8.18
korzystny	6.78	3.90	6.66	6.20	4.56	9.50
korzyść	6.62	4.42	6.48	6.36	4.50	9.48
kos	5.43	3.06	5.24	1.72	6.74	10.49
kosa	4.28	4.22	5.52	1.88	7.56	8.46
kostium	5.62	3.24	5.44	2.28	7.34	7.02
kostka	5.02	2.76	4.74	1.74	7.38	6.52
kostnica	2.20	5.38	3.40	2.42	7.00	11.16
kostnina	3.56	3.84	4.26	2.88	5.12	11.68
kosz	4.54	3.28	4.18	1.66	7.92	6.78
kosz na śmieci	4.44	4.72	5.02	2.96	6.70	10.38
koszary	2.62	5.88	3.64	5.30	6.64	7.60
koszmar	4.24	3.60	3.82	1.60	7.74	6.48
kosztować	4.70	4.14	4.96	4.60	5.42	7.56
kosztowny	4.02	4.34	5.92	5.00	5.66	9.34
koszty	3.78	4.08	4.76	3.88	4.74	9.78
koszula	5.70	2.94	5.44	2.02	8.08	7.78
koszyk	5.40	2.90	4.96	1.78	7.90	6.20
koszykówka	5.74	4.16	5.60	2.94	7.98	7.80
kościół	5.24	3.54	5.46	3.78	8.06	7.32
kość	4.80	3.62	5.14	1.88	8.02	6.42
kość ogonowa	4.36	3.68	4.50	2.34	7.34	11.46
kość słoniowa	4.88	3.00	5.84	2.12	7.08	10.38
kot	5.80	3.36	5.98	1.66	8.40	5.76
kotwica	5.46	3.22	5.54	1.66	7.78	8.48
kowal	5.50	3.64	6.20	2.04	7.42	8.94
koza	5.40	3.46	4.50	1.90	8.18	6.82
kozioł ofiarny	2.58	4.52	2.30	5.06	5.32	10.58
kpiny	3.20	4.72	3.50	5.82	4.98	10.31
krab	4.96	3.56	4.60	1.82	7.86	9.12
kradzież	2.30	5.65	4.46	3.90	6.58	8.48
kraj	5.86	3.32	5.82	3.78	5.80	7.56
kran	5.26	2.78	5.28	1.94	7.84	7.10
krata	3.98	3.60	4.88	1.74	7.66	8.42
krater	5.00	4.20	4.94	2.00	7.41	10.58
krawat	5.62	3.26	5.54	1.78	8.32	8.10
krawędź	4.38	4.28	4.60	2.86	6.86	8.56
krąg	5.26	3.30	5.22	3.50	7.02	8.76
kreda	5.24	2.90	4.72	1.58	8.02	7.00
krem	5.76	2.78	5.18	1.72	7.80	7.02
kreskówka	6.82	3.96	4.90	3.04	7.84	6.20
kret	4.54	2.98	4.14	1.76	7.96	7.36
krew	4.04	5.12	5.10	2.20	8.22	6.52
krewetka	5.40	3.78	4.86	1.84	7.94	10.24
krewki	5.15	4.22	6.04	4.81	4.98	12.43
kręcić	4.74	3.90	5.08	3.92	6.52	7.04
kręcić się	4.86	4.18	4.72	3.84	6.94	7.58
kręg	5.00	3.16	4.84	3.04	6.56	9.64
krnąbrność	3.67	5.14	5.32	6.26	4.12	11.72
krnąbrny	3.50	5.12	5.10	5.94	4.36	11.56
kroczyć	5.34	3.32	5.94	4.16	6.56	9.54
krogulec	4.71	3.89	4.95	2.45	5.91	12.23
krok	5.68	2.96	5.90	3.14	7.34	6.94
krokus	6.12	3.04	5.20	2.14	7.51	8.94
kromka	5.68	2.92	4.72	1.72	7.86	6.66
kropka	5.32	2.68	5.38	2.76	7.74	6.78
kroplówka	3.44	4.50	3.92	1.60	7.88	9.20
krowa	5.08	2.94	4.46	1.76	8.26	6.26
król	5.90	4.62	7.56	3.00	7.92	6.88
królik	5.72	2.98	4.58	1.44	8.22	5.88
królowa	6.08	4.22	7.28	3.02	7.92	6.66
królować	6.08	4.66	7.84	5.76	5.96	9.34
krótki	4.70	3.68	4.22	4.60	6.18	7.02
kruchy	4.22	3.90	3.34	4.10	6.54	8.22
krucjata	3.61	5.28	5.36	5.02	6.08	11.72
krucyfiks	4.68	4.35	5.54	3.24	7.22	12.24
kruk	5.20	3.36	5.43	1.96	7.90	7.82
krwawić	2.92	5.84	4.08	3.36	7.58	7.60
krwawy	3.26	6.22	4.92	4.18	7.12	8.70
krwisty	4.14	5.14	5.36	4.18	7.30	9.98
krykiet	5.06	3.02	5.32	2.60	6.51	11.38
kryminał	4.88	5.06	5.44	3.54	6.32	10.06
kryształ	6.38	4.18	5.94	2.64	7.80	9.42
krytyczny	3.30	5.08	5.64	5.96	4.86	10.48
krytyczny (stan)	1.98	6.48	3.30	4.96	6.30	10.76
kryzys	3.00	5.20	3.52	5.92	4.80	9.92
krzak	5.26	2.96	4.72	1.70	8.02	7.66
krzepki	5.82	4.50	6.28	4.70	5.82	9.84
krzepnąć	4.88	4.10	5.14	4.34	6.08	11.18
krzesło	5.36	2.88	4.92	1.92	8.12	5.68
krzew	5.34	3.32	4.98	1.82	7.80	7.84
krzyczeć	3.40	6.02	5.56	4.16	7.22	7.44
krzyk	3.38	5.70	4.94	4.12	6.96	7.04
krzywa	4.66	4.00	4.34	4.12	7.02	8.98
krzywdzenie	2.40	5.70	4.40	5.70	5.38	9.30
krzywić się	3.62	4.72	4.48	4.22	7.06	8.14
krzywy	4.22	3.98	4.02	4.42	6.60	6.90
krzyż	4.66	4.40	4.94	2.92	7.98	6.88
ksiądz	4.62	3.46	5.66	2.70	8.10	6.78
książę	6.00	3.86	7.38	3.14	7.56	6.88
książka	7.24	3.36	6.06	2.16	8.16	5.88
księżyc	6.50	3.44	5.78	2.14	8.18	6.78
kształtować	5.98	3.60	6.72	5.02	5.52	9.18
kubek	5.76	2.98	5.04	1.98	8.16	6.28
kuchenka	5.60	3.58	4.96	2.04	7.62	6.92
kuchnia	6.22	3.40	5.60	2.12	7.88	6.14
kucnąć	4.84	3.53	4.56	3.30	7.29	6.94
kuksaniec	4.53	4.10	4.70	3.02	6.49	10.38
kukułka	5.68	3.48	4.88	1.88	7.34	8.73
kukurydza	5.86	3.02	5.02	1.62	8.10	7.34
kula	5.02	3.24	5.00	2.06	7.92	7.04
kulawy	3.60	3.92	3.40	3.38	6.94	8.92
kule	4.36	4.04	4.44	1.74	7.60	7.14
kumpel	7.08	4.14	5.76	3.72	6.64	8.38
kuna	5.08	3.44	4.86	1.76	7.08	10.08
kupić	6.08	3.78	5.96	3.86	6.68	6.56
kupon	6.02	3.56	5.38	2.18	7.02	7.74
kupować	6.10	3.70	5.82	3.78	7.12	6.92
kura	5.44	3.16	4.20	1.66	8.12	6.10
kurcz	3.62	4.37	3.77	3.11	6.02	10.84
kurczak	6.18	3.56	4.63	1.92	8.00	6.80
kurczyć się	4.16	4.12	3.52	3.80	6.26	8.92
kurować	5.14	3.50	5.00	4.59	5.58	9.88
kurs	5.48	3.48	5.34	3.82	5.66	9.20
kurtka	5.52	3.10	5.28	1.98	7.96	6.82
kurtyna	5.50	3.38	5.28	2.16	7.90	8.78
kurwa	2.86	6.62	4.04	4.22	6.06	10.30
kuśtykający	3.68	4.10	3.14	4.14	7.02	10.62
kutas	3.26	6.20	4.74	2.56	7.34	10.90
kuternoga	3.77	4.13	3.80	2.96	6.07	11.54
kuzyn	6.10	3.18	4.96	2.56	5.98	7.98
kwakać	4.71	4.31	4.40	3.86	6.48	7.70
kwarta	5.42	3.08	4.94	4.06	4.81	12.47
kwartał	5.12	3.14	5.12	4.56	4.96	10.48
kwas	4.06	4.48	5.04	2.54	6.50	9.88
kwaśny	4.60	4.12	4.58	4.12	6.42	6.88
kwiat	6.60	2.80	5.44	1.98	7.98	6.54
kwiaty	6.82	3.30	5.38	2.20	8.08	5.62
kwilić	3.92	3.98	3.35	3.85	5.63	11.08
kwitnąć	6.69	4.10	5.63	3.80	7.14	7.58
labirynt	5.16	4.52	4.32	3.20	7.84	7.62
laboratorium	5.78	3.52	5.92	2.26	7.86	11.08
lada	5.18	2.88	5.02	1.94	7.38	9.84
laik	4.43	3.24	3.96	5.02	4.82	11.92
lakier	5.36	3.16	5.08	1.96	7.42	8.32
lalka	5.78	3.32	4.64	1.74	8.00	5.64
lama	5.50	3.02	4.76	1.88	7.84	9.24
lampa	5.52	3.08	5.26	1.72	8.10	7.46
lampa błyskowa	5.42	3.59	5.54	2.04	7.62	10.02
lampart	5.78	4.30	6.22	1.82	7.78	8.62
lanca	4.93	3.76	5.85	2.25	5.79	11.87
lany	5.04	3.51	4.61	3.76	5.04	8.58
larwa	3.56	4.40	3.60	1.92	7.66	10.24
las	6.82	3.12	5.28	1.94	8.12	5.76
laska	5.46	3.72	4.62	2.08	7.58	8.56
lasso	5.29	3.82	5.68	1.98	7.34	9.34
latać	6.52	4.36	6.32	3.98	7.30	6.68
latarka	5.60	3.06	5.84	1.66	8.12	6.96
latarnia	5.78	2.92	6.02	1.68	8.14	8.26
latarnia morska	5.94	3.36	6.10	1.84	8.26	9.44
lato	7.44	3.98	6.02	4.22	7.88	6.22
laur	6.08	3.50	6.64	3.14	6.16	11.02
lawa	4.96	4.64	5.94	2.38	7.84	9.04
lawina	3.94	5.06	4.84	2.72	7.58	8.24
lądować	5.74	3.94	5.46	3.64	7.16	8.04
leczyć	5.72	3.68	6.34	3.88	6.62	7.46
legenda	6.02	3.20	6.38	5.70	5.58	8.40
lejek	5.08	3.22	5.12	1.96	7.60	8.88
lek	4.92	3.82	5.66	2.24	7.44	6.20
lekarstwo	5.40	3.52	5.46	2.88	7.28	6.76
lekarz	5.26	3.84	6.92	2.54	7.92	6.40
lekceważenie	2.96	5.04	4.46	6.44	4.62	10.56
lekceważyć	3.22	5.12	4.78	6.14	4.84	10.08
lekcja	4.98	3.24	5.32	3.78	7.30	7.30
leki	3.88	4.04	4.80	2.48	7.50	7.88
lekkomyślność	3.70	4.30	3.88	6.36	4.86	10.82
lekkomyślny	3.62	4.42	3.54	6.42	4.84	10.22
len	5.54	2.94	4.60	2.06	6.75	10.66
leniwy	3.54	3.32	3.22	5.78	5.94	8.06
lepiej	6.50	4.22	5.96	6.32	3.40	6.34
lepszy	6.34	3.86	6.56	6.35	4.18	6.54
lesbijka	4.76	5.06	4.90	3.96	7.00	11.02
lesbijski	4.50	5.36	4.62	5.46	6.14	11.64
letni	6.74	3.52	5.64	4.74	6.30	8.36
lew	5.90	4.46	7.00	1.92	8.36	6.68
lewa	5.00	3.12	4.80	4.42	5.90	7.30
lęk	2.40	6.04	2.78	6.22	5.68	9.04
lękać się	2.90	5.52	2.58	5.90	5.74	10.18
liberalny	5.22	4.12	5.65	6.94	3.80	11.44
licytować	5.06	4.76	6.10	4.12	6.86	10.90
liczba	5.28	3.30	5.64	4.50	6.42	6.84
liczyć	5.62	3.64	5.72	4.44	6.72	6.86
lider	6.22	4.50	7.58	4.06	6.58	9.94
Liechtenstein	5.56	3.18	5.33	2.44	4.94	12.14
likier	5.92	4.10	5.28	1.82	7.46	11.58
lilia	6.32	2.76	5.12	1.82	7.34	10.02
liliowy	5.94	2.88	4.94	4.18	6.96	10.58
lina	5.36	3.20	4.96	1.76	7.78	7.32
linia	5.10	2.52	5.30	2.96	7.62	6.70
linia startu	5.32	4.34	5.44	2.58	7.50	8.04
liryczny	5.80	3.10	5.12	6.50	4.48	12.28
lis	5.20	3.76	5.24	1.86	8.14	6.88
list	6.04	3.10	5.42	2.06	8.00	6.72
lista	5.32	3.56	5.48	2.74	7.52	8.04
listwa	5.02	3.02	4.84	2.08	7.56	10.20
liść	5.92	2.72	4.70	1.54	8.04	6.30
litościwy	5.36	3.74	5.00	6.22	4.82	11.34
litość	4.28	4.34	4.68	6.76	4.92	9.78
litr	5.56	3.00	5.06	3.64	6.54	8.34
Litwa	5.74	3.28	4.82	2.42	5.96	10.58
lizać	5.34	4.16	4.58	3.58	7.66	6.84
lizus	3.02	5.02	3.40	4.82	6.02	8.86
loch	3.68	4.22	3.54	2.30	7.42	8.82
locha	4.50	4.18	4.49	2.00	6.65	10.71
lodowiec	5.06	3.52	5.80	2.28	7.70	9.78
lodówka	6.02	3.52	5.42	1.76	8.20	6.36
lody	6.88	3.28	5.14	1.64	7.96	7.28
logiczność	6.36	3.14	6.04	5.98	4.30	11.16
logiczny	6.44	3.28	6.78	6.62	4.46	10.28
logowanie	5.18	3.52	5.50	4.34	6.90	8.58
lojalność	7.20	3.58	6.28	7.08	4.72	11.44
lokaj	5.34	3.16	4.14	2.49	7.36	10.58
LOL	6.28	5.04	4.51	6.70	4.90	9.58
los	5.62	3.54	4.44	7.33	4.20	8.76
lot	6.20	4.22	5.94	3.60	7.50	7.34
loteria	5.76	4.10	4.78	3.46	6.70	8.12
lód	5.30	3.56	4.73	1.78	7.90	6.48
lubić	7.12	4.44	5.86	5.94	5.42	5.46
ludzie	5.70	4.24	5.76	2.64	7.38	6.70
luka	4.50	3.12	4.14	3.62	5.98	9.42
lukrecja	5.02	3.32	5.00	2.31	4.61	11.65
Luksemburg	5.78	3.32	5.69	2.42	4.94	11.70
luksus	7.04	4.30	6.76	5.50	6.46	9.24
luksusowy	6.64	4.28	7.04	6.20	6.42	9.36
lunch	6.16	3.52	5.52	2.64	7.18	10.20
lupa	5.44	3.06	5.74	1.78	7.98	8.04
lustro	5.52	3.08	5.72	1.86	8.00	6.74
lutnia	5.76	2.72	5.22	2.02	6.43	11.44
luzak	5.78	3.48	5.30	4.96	5.53	9.50
luźny	5.72	2.98	4.94	5.00	6.44	8.04
łabędź	6.14	2.88	5.32	1.82	8.16	6.78
łachmany	3.26	4.30	3.28	3.04	6.98	9.74
ładny	6.88	4.16	5.96	6.06	5.84	6.56
łagodność	6.72	2.90	4.80	6.60	5.36	9.42
łagodny	6.42	2.80	4.60	5.72	5.16	7.84
łajdak	2.68	5.94	4.20	4.20	5.62	10.94
łańcuch	4.56	3.28	4.88	2.00	7.90	7.62
łapać	5.28	3.80	5.86	3.84	6.67	6.70
łasica	5.12	3.32	5.06	1.76	7.36	9.48
łaskawy	5.88	3.20	5.76	6.32	5.04	10.36
łasuch	5.74	4.40	4.52	4.00	6.37	8.84
łatwowierność	3.30	4.18	2.90	6.36	4.56	10.20
łatwowierny	3.58	4.32	3.04	6.36	4.92	10.24
łatwy	6.14	3.30	4.32	5.82	4.76	6.44
ławka	5.78	2.88	4.72	1.70	8.32	7.18
łazienka	5.64	2.98	5.10	1.76	8.00	6.50
łąka	6.98	2.76	5.16	2.12	8.10	7.24
łgarstwo	2.62	5.41	4.08	5.88	4.50	11.02
łodyga	5.46	2.86	4.90	2.10	7.50	7.94
łokieć	5.02	3.14	4.88	2.08	8.12	6.38
łopata	4.86	3.60	4.98	1.74	8.10	8.28
łopatka	5.32	2.94	4.90	1.76	7.56	6.22
łosoś	5.96	3.38	5.20	1.68	8.04	8.72
łoś	5.46	3.12	5.24	1.78	8.00	8.00
łotr	3.04	5.30	5.20	3.69	5.78	9.36
Łotwa	5.62	3.24	4.72	2.74	5.36	11.44
łowić	5.52	3.20	5.34	3.34	7.44	7.04
łowić ryby	5.62	2.88	5.54	3.22	7.72	7.18
łowiectwo	4.88	4.28	5.76	4.40	6.10	11.02
łowny	5.10	4.26	5.00	4.28	4.82	10.78
łoże śmierci	1.68	5.26	3.02	5.00	5.92	11.32
łódź	5.60	3.42	5.50	2.12	8.02	6.92
łóżko	7.12	3.38	5.76	1.82	8.32	5.50
łuk	5.60	3.44	5.80	2.02	7.94	7.52
łup	4.90	4.60	5.62	2.96	6.08	9.60
łupek	5.08	3.00	4.79	2.37	5.04	11.98
łupić	3.48	4.74	5.94	4.25	5.79	10.84
łydka	5.20	3.24	4.94	1.90	7.98	7.84
łyk	5.58	3.36	4.96	3.00	6.72	6.56
łysy	4.48	3.62	4.32	2.82	8.00	6.98
łyżka	5.18	2.86	4.80	1.44	8.34	6.52
łyżwa	5.56	3.46	5.10	1.88	8.14	8.02
łza	3.66	4.54	3.58	2.08	8.26	6.82
Macedonia	5.66	3.24	4.74	2.66	4.30	11.90
machać	5.60	3.74	5.38	3.60	7.38	7.30
macho	4.44	5.12	5.90	4.66	7.16	11.12
macierzyński	6.52	4.04	5.78	5.28	5.94	10.84
mafia	3.14	5.38	6.76	3.68	6.96	10.28
magazyn	5.14	3.30	5.34	2.20	7.50	9.16
magazynowanie	5.08	3.58	5.38	4.02	6.44	10.24
magia	6.50	4.24	5.58	7.10	6.48	6.58
magiczny	6.72	4.24	5.58	7.22	6.08	7.38
magiel	4.92	3.60	4.63	2.20	6.08	11.50
maglować	4.28	4.04	5.06	4.45	5.37	12.02
majątek	6.54	5.04	6.44	4.02	6.18	10.18
majstrować	5.78	4.22	6.10	3.88	6.68	9.30
majtki	5.32	4.00	4.56	1.96	8.34	6.04
makaron	6.08	3.04	5.22	1.70	8.02	6.46
makrela	5.58	3.24	4.70	1.68	7.60	9.48
maksyma	5.48	3.39	5.68	6.30	4.06	12.69
malaria	2.64	5.42	4.00	2.90	5.52	11.00
malarstwo	6.12	3.58	5.30	4.38	6.78	8.18
malarz	6.10	3.38	5.68	2.42	7.70	7.70
malina	6.46	3.36	5.14	1.86	8.12	6.78
malować	6.42	3.84	5.98	3.66	7.64	6.70
Malta	5.98	3.29	4.94	2.24	5.40	11.58
maluszek	6.42	3.28	3.80	2.80	6.98	6.76
malutki	5.44	3.00	3.38	4.26	6.34	6.38
małomówny	4.34	2.94	3.46	5.12	5.76	9.90
małostkowy	3.71	3.94	3.80	6.20	4.00	11.22
małpa	5.34	3.88	4.55	1.74	8.12	7.44
mały	5.00	3.14	3.78	4.84	6.52	6.06
małżonek	6.36	4.36	5.66	2.90	6.78	9.20
małżonkowie	6.70	4.24	5.88	3.12	7.32	8.90
mama	7.94	3.84	6.56	2.78	8.16	3.62
maminsynek	3.10	4.12	2.92	5.04	5.66	9.14
manekin	4.86	3.12	3.72	2.12	7.68	9.32
mango	6.12	3.50	4.80	1.70	7.36	9.84
maniak	4.30	4.92	4.82	5.20	5.58	11.34
manipulacja	3.38	4.70	4.68	6.62	4.64	11.04
manipulowany	2.82	4.86	2.98	6.46	4.48	11.00
mapa	6.14	2.92	5.90	1.92	7.96	7.98
marazm	3.50	3.46	3.52	6.36	4.66	13.19
margerytka	5.86	3.00	4.59	2.63	5.94	12.84
marginalny	4.34	3.71	3.35	6.10	4.13	12.32
margines	4.46	3.10	3.56	3.16	6.90	8.76
marka	5.54	3.44	5.90	4.46	5.50	9.20
marker	5.20	3.34	5.40	1.84	7.78	8.90
marmur	5.28	2.86	6.36	2.16	7.54	10.50
marnotrastwo	3.12	4.86	4.10	5.96	5.16	11.10
marnować	3.22	4.18	3.52	5.34	5.34	8.14
marny	3.30	4.24	2.68	5.74	4.54	9.62
marsz	5.34	3.50	5.44	3.14	7.02	8.56
marszałek	5.10	4.32	7.08	2.84	6.24	11.24
marszczenie	4.26	3.74	4.78	3.90	6.72	9.36
marszczyć	4.02	3.72	4.88	3.92	6.96	9.62
martwica	2.24	5.30	2.92	3.68	5.80	12.04
martwić	2.90	4.92	3.36	5.66	5.94	8.04
martwić się	3.08	5.32	3.66	6.04	6.08	7.16
martwy	2.02	5.56	2.48	3.78	7.22	8.82
marynarz	5.58	3.58	5.66	2.42	7.72	7.84
marzenie	7.78	4.50	5.98	7.04	5.96	8.02
marzyć	7.54	3.80	5.86	7.22	6.44	7.52
masa	5.06	3.62	5.46	3.40	5.92	9.34
masakra	2.54	6.08	4.28	5.18	5.56	9.32
